"","Y"
1,0.503816712889641
2,0.367200765708925
3,0.253474299686256
4,0.114844447204707
5,0.735567876764275
6,0.901731211098498
7,0.569338838027227
8,0.389636873324551
9,0.0994428013984381
10,0.306034160883084
11,0.460299074580362
12,0.165251463856627
13,0.0998759591451196
14,0.242025195941506
15,0.199602465693845
16,0.231373423194418
17,0.847818899193938
18,0.354425285582951
19,0.22035619863901
20,0.660107499755525
21,0.125533986615604
22,0.714986857452111
23,0.0800760151870762
24,0.203996819894416
25,0.788054187597776
26,0.0101574521636033
27,0.208414412875588
28,0.339554592388901
29,0.103677145861105
30,0.105050959122835
31,0.127318665056331
32,0.264175194133098
33,0.203226478253573
34,0.117016990062969
35,0.344809090537692
36,0.276386146648817
37,0.165439585692608
38,0.0957635278621256
39,0.0506729641818637
40,0.198581842921034
41,0.303260494427896
42,0.232701568920021
43,0.243300553136602
44,0.365560619779826
45,0.158586973309166
46,0.31200583661779
47,0.755273834942707
48,0.265539628257002
49,0.389310679113186
50,0.223539007450838
51,0.146061766188162
52,0.574601704424172
53,0.549304596228501
54,0.385165024802311
55,0.367278620381017
56,0.101623638206207
57,0.2577049612205
58,0.91629962965861
59,0.610274435988007
60,0.609033641376996
61,0.321696508536405
62,0.251161361193541
63,0.0284772377283285
64,0.159733456960254
